Year,Jan.,Feb.,Mar.,Apr.,   May,June,July,Aug.,Sep.,Oct.,Nov.,Dec.
1995,0.195,0.183,0.182,0.166,0.154,0.156,0.179,0.244,0.262,0.253,0.238,0.244
1996,0.254,0.242,0.251,0.226,0.219,0.219,0.233,0.252,0.305,0.247,0.232,0.227
1997,0.225,0.203,0.176,0.156,0.143,0.137,0.146,0.174,0.259,0.253,0.23,0.233
1998,0.219,0.208,0.205,0.194,0.178,0.163,0.127,0.138,0.226,0.221,0.175,0.149
1999,0.158,0.15,0.153,0.141,0.133,0.127,0.124,0.184,0.232,0.235,0.233,0.237
2000,0.235,0.211,0.205,0.197,0.182,0.163,0.162,0.188,0.237,0.206,0.179,0.175
2001,0.158,0.152,0.146,0.157,0.152,0.149,0.151,0.167,0.213,0.247,0.235,0.231
2002,0.218,0.216,0.22,0.218,0.215,0.204,0.207,0.254,0.301,0.301,0.274,0.265
2003,0.255,0.247,0.231,0.23,0.216,0.204,0.208,0.346,0.252,0.249,0.274,0.25
2004,0.261,0.259,0.261,0.254,0.249,0.246,0.243,0.227,0.246,0.232,0.214,0.185
2005,0.177,0.161,0.139,0.127,0.123,0.116,0.098,0.177,0.264,0.257,0.255,0.217
2006,0.217,0.285,0.199,0.193,0.189,0.228,0.283,0.36,0.382,0.347,0.348,0.287
2007,0.286,0.285,0.284,0.284,0.294,0.292,0.305,0.34,0.403,0.379,0.403,0.35
2008,0.355,0.348,0.344,0.338,0.362,0.412,0.446,0.537,0.506,0.425,0.36,0.293
2009,0.272,0.237,0.215,0.204,0.187,0.181,0.172,0.237,0.337,0.274,0.256,0.227
2010,0.218,0.243,0.22,0.209,0.229,0.208,0.299,0.291,0.324,0.332,0.303,0.268
2011,0.251,0.238,0.268,0.269,0.277,0.278,0.358,0.634,0.421,0.431,0.344,0.302
2012,0.366,0.342,0.336,0.326,0.348,0.387,0.419,0.493,0.587,0.522,0.519,0.454
2013,0.438,0.416,0.395,0.392,0.372,0.344,0.332,0.388,0.46,0.4,0.356,0.316
2014,0.317,0.294,0.28,0.261,0.392,0.372,0.344,0.332,0.388,0.46,0.4,0.356
2015,0.433,0.437,0.45,0.441,0.391,0.38,0.406,0.461,0.53,0.452,0.399,0.396
