Year,Jan.,Feb.,Mar.,Apr.,   May,June,July,Aug.,Sep.,Oct.,Nov.,Dec.
1995,0.765,0.789,0.793,0.784,0.813,0.833,0.864,0.901,0.923,0.863,0.853,0.834
1996,0.877,0.877,0.894,0.915,0.921,0.954,0.976,0.998,1.006,0.949,0.907,0.886
1997,0.907,0.912,0.914,0.895,0.912,0.914,0.918,0.935,0.933,0.881,0.864,0.897
1998,0.922,0.96,0.962,0.949,0.974,0.955,1,0.99,0.971,0.902,0.878,0.854
1999,0.86,0.87,0.852,0.87,0.881,0.893,0.905,0.921,0.972,0.919,0.902,0.918
2000,0.952,0.974,0.96,0.957,0.927,0.918,0.94,0.928,0.922,0.899,0.833,0.816
2001,0.808,0.83,0.845,0.834,0.848,0.89,0.892,0.898,0.874,0.894,0.915,0.893
2002,0.877,0.892,0.915,0.91,0.921,0.938,0.968,0.977,1.011,1.001,0.98,0.985
2003,0.977,0.968,0.948,0.972,0.992,0.992,1.006,1.016,1.023,0.936,0.97,0.957
2004,1.019,1.05,1.05,1.04,1.065,1.076,1.099,1.104,1.085,0.992,0.985,0.95
2005,0.966,0.974,0.92,0.869,0.915,0.974,0.965,0.977,0.967,0.94,0.955,0.971
2006,0.963,0.977,0.935,0.958,1.021,1.053,1.146,1.235,1.256,1.138,1.089,1.027
2007,1.034,1.072,1.068,1.104,1.112,1.13,1.184,1.194,1.178,1.083,1.103,1.121
2008,1.161,1.176,1.209,1.205,1.254,1.362,1.452,1.58,1.584,1.401,1.259,1.179
2009,1.233,1.191,1.195,1.202,1.147,1.183,1.193,1.217,1.212,1.129,1.163,1.114
2010,1.141,1.153,1.173,1.2,1.259,1.262,1.29,1.305,1.259,1.18,1.225,1.196
2011,1.241,1.311,1.283,1.345,1.306,1.317,1.374,1.529,1.505,1.409,1.318,1.266
2012,1.272,1.282,1.284,1.257,1.294,1.377,1.435,1.504,1.524,1.435,1.437,1.424
2013,1.35,1.433,1.393,1.33,1.406,1.382,1.412,1.428,1.406,1.384,1.362,1.343
2014,1.278,1.309,1.33,1.356,1.393,1.393,1.391,1.404,1.403,1.364,1.333,1.29
2015,1.345,1.35,1.265,1.245,1.301,1.357,1.408,1.435,1.429,1.396,1.369,1.396
