Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1995,0,0,0,0,0.525,0.29,0.325,0.325,0.24,0.28,0.265,0.34
1996,0,0,0,0,0.575,0.48,0.285,0.24,0.29,0.44,0.55,0.375
1997,0,0,0,0,0.53,0.33,0.24,0.225,0.275,0.285,0.42,0.325
1998,0,0,0,0,0.4,0.285,0.29,0.4,0.29,0.285,0.3,0.275
1999,0,0,0,0,0.65,0.44,0.3475,0.3825,0.2775,0.2625,0.2975,0.2975
2000,0,0,0,0,0.4575,0.3375,0.2575,0.3075,0.2675,0.3525,0.3825,0.3825
2001,0,0,0,0,0.395,0.595,0.315,0.3,0.335,0.32,0.32,0.425
2002,0,0,0,0,0.5,0.4525,0.415,0.325,0.32,0.295,0.305,0.36
2003,0,0,0,0,0.465,0.485,0.38,0.325,0.31,0.3,0.33,0.365
2004,0,0,0,0,0.77,0.415,0.285,0.28,0.34,0.415,0.515,0.58
2005,0,0,0,0,0.505,0.455,0.265,0.265,0.305,0.3,0.245,0.195
2006,0,0,0,0,1.35,1.21,0.515,0.44,0.455,0.415,0.465,0.655
2007,0,0,0,0,0.55,0.385,0.33,0.34,0.395,0.47,0.6,0.855
2008,0,0,0,0,0.21,0.295,0.33,0.265,0.24,0.185,0.18,0.15
2009,0,0,0,0,0.69,0.56,0.305,0.155,0.235,0.315,0.315,0.61
2010,0,0,0,0,0.525,0.325,0.23,0.215,0.21,0.215,0.25,0.375
2011,0,0,0,0,1.25,0.73,0.74,0.48,0.41,0.395,0.49,0.52
2012,0,0,0,0,1.32,0.775,0.515,0.49,0.565,0.77,0.885,0.89
2013,0,0,0,0,1.275,0.935,0.775,0.68,0.675,0.765,0.83,0.84
2014,0,0,0,0,1.235,0.91,0.81,0.795,0.81,0.825,0.92,1.055
2015,0,0,0,0,1.235,0.91,0.74,0.665,0.68,0.7,0.76,1.155
