Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1995,1.747,1.580,1.336,1.622,1.972,1.549,1.460,1.300,1.160,1.351,1.668,1.863
1996,2.072,1.557,1.350,1.824,1.893,1.934,1.532,1.167,1.269,1.690,2.252,2.600
1997,1.981,1.508,1.675,1.876,2.136,1.606,1.372,1.240,1.275,1.646,2.035,2.188
1998,1.815,1.722,1.579,1.516,1.750,1.651,1.256,1.448,1.393,1.564,1.941,2.530
1999,2.341,1.663,1.613,2.262,2.700,1.864,1.678,1.522,1.453,1.557,1.897,2.403
2000,2.450,1.872,1.663,1.746,1.872,1.359,1.358,1.283,1.329,1.590,2.062,2.359
2001,2.126,1.647,1.616,2.209,2.650,2.081,1.579,1.472,1.544,1.918,2.305,2.500
2002,2.234,1.752,1.662,1.929,2.403,1.852,1.702,1.504,1.546,1.809,1.984,2.269
2003,2.060,1.806,1.843,1.911,2.232,1.797,1.893,1.626,1.597,1.877,2.248,2.560
2004,1.856,1.615,1.581,2.113,2.599,1.945,1.682,1.501,1.605,2.346,2.768,3.093
2005,2.706,1.883,1.514,1.869,2.506,1.894,1.929,1.701,1.662,2.022,2.497,2.757
2006,2.590,2.015,1.864,1.757,2.395,2.478,2.534,1.821,1.846,2.230,2.536,2.891
2007,2.591,1.989,1.763,1.957,2.748,2.035,1.778,1.701,1.612,2.114,2.721,2.980
2008,3.411,2.219,1.936,2.282,2.530,2.062,1.875,1.800,1.707,1.972,2.289,2.459
2009,2.169,1.987,1.803,1.894,2.431,2.190,1.915,1.615,1.638,2.009,2.523,3.137
2010,3.070,2.236,2.526,2.070,2.486,2.081,1.618,1.489,1.622,1.805,2.295,2.871
2011,3.002,2.393,2.209,2.196,2.828,2.378,2.452,2.033,1.849,2.079,2.347,2.860
2012,2.648,2.294,2.151,2.687,3.054,2.617,2.268,1.961,1.988,2.340,2.758,3.085
2013,3.035,3.148,2.413,2.452,3.008,2.533,2.193,1.821,1.847,2.200,2.412,2.568
2014,2.807,2.872,2.694,3.059,3.158,2.465,2.356,2.132,2.173,2.429,2.568,2.959
2015,3.209,3.006,2.653,2.737,3.001,2.515,2.328,2.100,2.130,2.160,2.424,2.833
