Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1995,0.876,0.802,0.592,0.543,0.669,0.54,0.507,0.633,0.415,0.497,1.15,1.44
1996,0.93,0.794,0.659,0.393,0.456,0.654,0.447,0.548,0.615,0.407,1.1,1.6
1997,1.02,0.784,0.804,0.427,0.543,0.751,0.566,0.531,0.675,0.698,0.8,1.84
1998,1.11,1.19,0.786,0.699,0.674,0.555,0.565,0.65,0.59,0.802,1.16,1.08
1999,1.15,1.19,0.863,0.849,0.61,0.631,0.581,0.662,0.583,0.456,0.79,1.28
2000,0.913,0.877,0.639,0.689,0.461,0.589,0.57,0.496,0.622,0.954,0.9,1.32
2001,1.79,1.02,0.779,0.757,0.516,0.624,0.689,0.874,0.781,0.807,0.964,1.13
2002,1.16,0.978,0.877,0.6,0.634,0.583,0.532,0.826,0.584,0.684,1.08,1.62
2003,1.09,0.878,0.643,0.695,0.642,0.582,0.666,0.681,0.868,1,1.65,1.7
2004,1.4,1.19,0.617,0.444,0.547,0.562,0.504,0.652,0.84,0.848,1.64,1.65
2005,1.33,1.08,0.639,0.54,0.59,0.55,0.56,0.66,0.7,0.57,0.77,2
2006,1.17,0.999,0.688,0.611,0.618,0.514,0.64,0.637,0.776,0.729,0.961,1.82
2007,1.31,1.47,0.889,0.649,0.686,0.661,0.53,0.793,0.574,0.8,1.16,1.71
2008,1.94,1.31,0.953,0.655,0.833,0.619,0.659,0.91,0.701,0.72,0.876,2.07
2009,1.16,1.28,0.911,0.789,0.761,0.628,0.748,0.735,0.75,1.08,0.876,1.83
2010,1.98,1.71,1.16,0.769,0.789,0.677,0.62,0.817,0.733,0.876,1.39,2.94
2011,2.17,1.26,0.992,0.935,0.808,0.727,0.892,0.788,0.876,0.669,0.844,1.53
2012,1.37,1.13,1.03,0.944,0.827,0.744,0.74,0.85,0.876,0.901,1.39,2.22
2013,1.82,1.25,0.904,0.876,0.961,0.918,0.893,0.927,1.33,1.12,1.52,2.09
2014,1.35,1.01,0.636,0.768,0.726,0.615,0.602,0.867,0.713,1,1.9,1.93
2015,1.95,1.67,0.81,0.843,0.686,0.605,0.594,0.694,0.509,0.71,1.67,1.54
