Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1995,1.83,1.926,1.340,1.001,1.140,1.180,1.209,1.398,1.355,1.316,1.550,2.250
1996,1.692,1.505,1.236,1.082,0.957,1.226,1.247,1.164,1.420,1.409,1.630,2.300
1997,1.75,1.514,1.317,1.179,1.073,1.213,1.383,1.375,1.488,1.750,1.654,2.350
1998,2.135,2.080,1.751,1.613,1.386,1.413,1.346,1.454,1.469,1.779,1.800,2.400
1999,2.155,2.102,1.960,1.751,1.419,1.490,1.375,1.557,1.679,1.664,1.948,2.450
2000,2.167,1.935,1.825,1.450,1.218,1.187,1.246,1.263,1.416,1.619,2.000,2.500
2001,2.23,2.140,2.010,1.737,1.482,1.465,1.486,1.628,1.916,1.996,2.137,2.526
2002,2.498,2.137,1.941,1.551,1.527,1.552,1.545,1.695,1.873,1.884,2.224,2.600
2003,2.49,2.153,1.871,1.762,1.678,1.568,1.776,1.840,1.986,2.246,2.410,2.700
2004,2.481,2.332,2.124,1.661,1.672,1.847,1.629,1.817,1.843,2.600,3.185,3.602
2005,3.234,2.346,1.877,1.526,1.727,1.763,1.808,1.807,2.146,2.188,2.244,2.666
2006,2.411,1.981,1.817,1.708,1.734,1.650,1.759,1.804,2.019,2.405,2.312,2.899
2007,2.539,2.609,2.289,1.717,1.862,1.781,1.667,1.830,2.004,2.284,2.779,3.069
2008,3.024,2.821,2.073,1.777,1.831,1.908,1.880,2.085,2.177,2.320,2.547,3.009
2009,2.613,2.447,2.070,1.849,1.724,1.695,1.639,1.788,1.887,2.102,2.641,2.721
2010,2.854,2.700,2.194,1.667,1.753,1.734,1.675,1.839,1.896,2.095,2.746,3.073
2011,3.003,2.417,1.994,1.816,1.677,1.613,1.618,1.794,1.983,2.060,2.444,2.485
2012,2.225,2.041,1.893,1.807,1.653,1.706,1.594,1.709,1.936,2.015,2.455,2.876
2013,2.152,1.895,1.991,1.784,1.647,1.686,1.691,1.917,2.132,2.335,2.500,2.865
2014,2.639,2.112,1.771,1.713,1.892,1.838,1.868,1.968,2.578,2.677,2.846,3.563
2015,2.454,2.090,1.664,1.852,2.087,1.735,1.798,2.283,2.385,2.523,3.165,3.502
